,train_rmse,train_mae,train_r2,train_mape,validation_rmse,validation_mae,validation_r2,validation_mape,test_rmse,test_mae,test_r2,test_mape
Linear Regression,1.352359999446932,0.6807841144044147,0.9871140154546354,1.089932324379743,1.2252998763463085,0.7012906615430157,0.9848628916964628,1.1280044413030776,0.7424816796962515,0.6081005174025869,0.996599667929111,1.0312121920072226
Random Forest,1.8179175212532526,1.4035617331543908,0.9767147275455272,2.431562974576743,5.778698185932339,4.4049777563791555,0.663319344777719,8.213707314685267,4.936557048858978,3.741428249016578,0.8496864375296062,7.209039963061152
Gradient Boosting,0.04222641592367835,0.033685408045474166,0.9999874367669745,0.05512111815987138,4.290087226946971,3.058841093317145,0.8144374278688539,5.847010110952831,4.182574920100003,3.3490260303388735,0.8920960593893889,6.324308737961615
SVR,1.5833005600117984,0.3698789875905164,0.9823371938019361,0.5669124754761595,1.3644145948552504,0.477790633317528,0.9812305800450524,0.7034787629207675,0.882190079146761,0.3255484884075336,0.9951996358208818,0.49496287031838326
